year,season,site,zone,transect,segment,classcode,density,count,meters_sampled,class,subclass,size_or_stipe_count,area_samp
2018,summer,breast,deep,2,20-30m,macpyrad,0.25,5,10,algae,brown_algae,"2,7,34,15,5",20
2018,summer,breast,deep,2,20-30m,agacla,1.05,21,10,algae,brown_algae,NA,20
2018,summer,breast,deep,2,20-30m,sacgro,0.5,10,10,algae,brown_algae,NA,20
2018,summer,breast,deep,2,20-30m,opunt,0.7,14,10,algae,red_algae,NA,20
2018,summer,breast,deep,2,20-30m,crypto,0.45,9,10,algae,red_algae,NA,20
2018,summer,breast,deep,2,10-20m,macpyrad,0.2,4,10,algae,brown_algae,"12,27,11,14",20
2018,summer,breast,deep,2,10-20m,agafim,0.5,10,10,algae,brown_algae,NA,20
2018,summer,breast,deep,2,10-20m,sacgro,0.85,17,10,algae,brown_algae,NA,20
2018,summer,breast,deep,2,10-20m,opunt,0.1,2,10,algae,red_algae,NA,20
2018,summer,breast,deep,2,0-10m,macpyrad,0.25,5,10,algae,brown_algae,"18,16,25,2,42",20
2018,summer,breast,deep,2,0-10m,agafim,0.25,5,10,algae,brown_algae,NA,20
2018,summer,breast,deep,2,0-10m,sacgro,0.9,18,10,algae,brown_algae,NA,20
2018,summer,breast,deep,2,0-10m,opunt,0.25,5,10,algae,red_algae,NA,20
2018,summer,breast,deep,2,0-10m,crypto,0.2,4,10,algae,red_algae,NA,20
2018,summer,breast,deep,1,20-30m,macpyrad,0.2,4,10,algae,brown_algae,"2,2,3,18",20
2018,summer,breast,deep,1,20-30m,agafim,0.45,9,10,algae,brown_algae,NA,20
2018,summer,breast,deep,1,20-30m,sacgro,0.6,12,10,algae,brown_algae,NA,20
2018,summer,breast,deep,1,20-30m,opunt,0.35,7,10,algae,red_algae,NA,20
2018,summer,breast,deep,1,20-30m,crypto,0.15,3,10,algae,red_algae,NA,20
2018,summer,breast,deep,1,10-20m,macpyrad,0.35,7,10,algae,brown_algae,"7,1,25,28,2,9,10",20
2018,summer,breast,deep,1,10-20m,agafim,0.15,3,10,algae,brown_algae,NA,20
2018,summer,breast,deep,1,10-20m,crypto,0.25,5,10,algae,red_algae,NA,20
2018,summer,breast,deep,1,10-20m,opunt,0.15,3,10,algae,red_algae,NA,20
2018,summer,breast,deep,1,0-10m,macpyrad,0.4,8,10,algae,brown_algae,"9,10,38,8,17,6,21,8",20
2018,summer,breast,deep,1,0-10m,agafim,0.2,4,10,algae,brown_algae,NA,20
2018,summer,breast,deep,1,0-10m,sacgro,0.25,5,10,algae,brown_algae,NA,20
2018,summer,breast,deep,1,0-10m,opunt,0.2,4,10,algae,red_algae,NA,20
2018,summer,breast,deep,1,0-10m,const,0.1,2,10,algae,red_algae,NA,20
2018,summer,breast,shallow,1,0-10m,macpyrad,0.3,6,10,algae,brown_algae,"6,21,19,8,8,24",20
2018,summer,breast,shallow,1,0-10m,agafim,0.1,2,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,1,0-10m,opunt,0.15,3,10,algae,red_algae,NA,20
2018,summer,breast,shallow,1,0-10m,crypto,0.2,4,10,algae,red_algae,NA,20
2018,summer,breast,shallow,1,10-20m,macpyrad,0.45,9,10,algae,brown_algae,"16,13,18,16,6,12,10,26,6",20
2018,summer,breast,shallow,1,10-20m,agafim,0.15,3,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,1,10-20m,sacgro,0.05,1,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,1,10-20m,opunt,0.05,1,10,algae,red_algae,NA,20
2018,summer,breast,shallow,1,10-20m,crypto,0.05,1,10,algae,red_algae,NA,20
2018,summer,breast,shallow,1,10-20m,const,0.05,1,10,algae,red_algae,NA,20
2018,summer,breast,shallow,1,20-30m,macpyrad,0.05,1,10,algae,brown_algae,22,20
2018,summer,breast,shallow,1,20-30m,agafim,0.25,5,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,1,20-30m,opunt,0.15,3,10,algae,red_algae,NA,20
2018,summer,breast,shallow,1,20-30m,crypto,1.05,21,10,algae,red_algae,NA,20
2018,summer,breast,shallow,1,20-30m,const,0.1,2,10,algae,red_algae,NA,20
