year,season,site,zone,transect,segment,classcode,size_or_stipe_count,class,subclass,meters_sampled,area_samp
2018,summer,breast,deep,2,20-30m,macpyrad,2,algae,brown_algae,10,20
2018,summer,breast,deep,2,20-30m,macpyrad,7,algae,brown_algae,10,20
2018,summer,breast,deep,2,20-30m,macpyrad,34,algae,brown_algae,10,20
2018,summer,breast,deep,2,20-30m,macpyrad,15,algae,brown_algae,10,20
2018,summer,breast,deep,2,20-30m,macpyrad,5,algae,brown_algae,10,20
2018,summer,breast,deep,2,10-20m,macpyrad,12,algae,brown_algae,10,20
2018,summer,breast,deep,2,10-20m,macpyrad,27,algae,brown_algae,10,20
2018,summer,breast,deep,2,10-20m,macpyrad,11,algae,brown_algae,10,20
2018,summer,breast,deep,2,10-20m,macpyrad,14,algae,brown_algae,10,20
2018,summer,breast,deep,2,0-10m,macpyrad,18,algae,brown_algae,10,20
2018,summer,breast,deep,2,0-10m,macpyrad,16,algae,brown_algae,10,20
2018,summer,breast,deep,2,0-10m,macpyrad,25,algae,brown_algae,10,20
2018,summer,breast,deep,2,0-10m,macpyrad,2,algae,brown_algae,10,20
2018,summer,breast,deep,2,0-10m,macpyrad,42,algae,brown_algae,10,20
2018,summer,breast,deep,1,20-30m,macpyrad,2,algae,brown_algae,10,20
2018,summer,breast,deep,1,20-30m,macpyrad,2,algae,brown_algae,10,20
2018,summer,breast,deep,1,20-30m,macpyrad,3,algae,brown_algae,10,20
2018,summer,breast,deep,1,20-30m,macpyrad,18,algae,brown_algae,10,20
2018,summer,breast,deep,1,10-20m,macpyrad,7,algae,brown_algae,10,20
2018,summer,breast,deep,1,10-20m,macpyrad,1,algae,brown_algae,10,20
2018,summer,breast,deep,1,10-20m,macpyrad,25,algae,brown_algae,10,20
2018,summer,breast,deep,1,10-20m,macpyrad,28,algae,brown_algae,10,20
2018,summer,breast,deep,1,10-20m,macpyrad,2,algae,brown_algae,10,20
2018,summer,breast,deep,1,10-20m,macpyrad,9,algae,brown_algae,10,20
2018,summer,breast,deep,1,10-20m,macpyrad,10,algae,brown_algae,10,20
2018,summer,breast,deep,1,0-10m,macpyrad,9,algae,brown_algae,10,20
2018,summer,breast,deep,1,0-10m,macpyrad,10,algae,brown_algae,10,20
2018,summer,breast,deep,1,0-10m,macpyrad,38,algae,brown_algae,10,20
2018,summer,breast,deep,1,0-10m,macpyrad,8,algae,brown_algae,10,20
2018,summer,breast,deep,1,0-10m,macpyrad,17,algae,brown_algae,10,20
2018,summer,breast,deep,1,0-10m,macpyrad,6,algae,brown_algae,10,20
2018,summer,breast,deep,1,0-10m,macpyrad,21,algae,brown_algae,10,20
2018,summer,breast,deep,1,0-10m,macpyrad,8,algae,brown_algae,10,20
2018,summer,breast,shallow,1,0-10m,macpyrad,6,algae,brown_algae,10,20
2018,summer,breast,shallow,1,0-10m,macpyrad,21,algae,brown_algae,10,20
2018,summer,breast,shallow,1,0-10m,macpyrad,19,algae,brown_algae,10,20
2018,summer,breast,shallow,1,0-10m,macpyrad,8,algae,brown_algae,10,20
2018,summer,breast,shallow,1,0-10m,macpyrad,8,algae,brown_algae,10,20
2018,summer,breast,shallow,1,0-10m,macpyrad,24,algae,brown_algae,10,20
2018,summer,breast,shallow,1,10-20m,macpyrad,16,algae,brown_algae,10,20
2018,summer,breast,shallow,1,10-20m,macpyrad,13,algae,brown_algae,10,20
2018,summer,breast,shallow,1,10-20m,macpyrad,18,algae,brown_algae,10,20
2018,summer,breast,shallow,1,10-20m,macpyrad,16,algae,brown_algae,10,20
2018,summer,breast,shallow,1,10-20m,macpyrad,6,algae,brown_algae,10,20
2018,summer,breast,shallow,1,10-20m,macpyrad,12,algae,brown_algae,10,20
2018,summer,breast,shallow,1,10-20m,macpyrad,10,algae,brown_algae,10,20
2018,summer,breast,shallow,1,10-20m,macpyrad,26,algae,brown_algae,10,20
2018,summer,breast,shallow,1,10-20m,macpyrad,6,algae,brown_algae,10,20
2018,summer,breast,shallow,1,20-30m,macpyrad,22,algae,brown_algae,10,20
2018,summer,breast,shallow,2,0-10m,macpyrad,19,algae,brown_algae,10,20
2018,summer,breast,shallow,2,0-10m,macpyrad,22,algae,brown_algae,10,20
2018,summer,breast,shallow,2,10-20m,macpyrad,13,algae,brown_algae,10,20
2018,summer,breast,shallow,2,10-20m,macpyrad,2,algae,brown_algae,10,20
2018,summer,breast,shallow,2,20-30m,macpyrad,17,algae,brown_algae,10,20
2018,summer,breast,shallow,2,20-30m,macpyrad,25,algae,brown_algae,10,20
2018,summer,breast,shallow,2,20-30m,macpyrad,20,algae,brown_algae,10,20
2018,summer,breast,deep,1,0-10m,halkam,90,invert,mollusc,10,10
2018,summer,breast,deep,1,0-10m,halkam,50,invert,mollusc,10,10
2018,summer,breast,deep,1,0-10m,halkam,60,invert,mollusc,10,10
2018,summer,breast,deep,1,0-10m,halkam,65,invert,mollusc,10,10
2018,summer,breast,deep,1,0-10m,halkam,70,invert,mollusc,10,10
2018,summer,breast,deep,1,0-10m,halkam,75,invert,mollusc,10,10
2018,summer,breast,deep,1,0-10m,halkam,80,invert,mollusc,10,10
2018,summer,breast,deep,1,0-10m,halkam,85,invert,mollusc,10,10
2018,summer,breast,deep,1,0-10m,halkam,40,invert,mollusc,10,10
2018,summer,breast,deep,1,0-10m,halkam,100,invert,mollusc,10,10
2018,summer,breast,deep,1,10-20m,derimb,40,invert,star,10,10
2018,summer,breast,deep,1,10-20m,derimb,60,invert,star,10,10
2018,summer,breast,deep,1,10-20m,henlev,30,other,other,10,10
2018,summer,breast,deep,1,10-20m,evatros,40,invert,star,10,10
2018,summer,breast,deep,1,10-20m,strdro,60,invert,urchin,10,10
2018,summer,breast,deep,1,10-20m,strfraad,30,invert,urchin,10,10
2018,summer,breast,deep,1,10-20m,strfraad,45,invert,urchin,10,10
